class_id,representative,class_size,elements,units_used,theoretical_case,notes
1,1,1,1,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
2,2,1,2,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
3,3,1,3,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
4,4,1,4,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
5,5,1,5,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
6,6,1,6,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
7,7,1,7,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
8,8,1,8,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
9,9,1,9,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
10,10,1,10,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
11,11,1,11,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
12,12,1,12,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
13,13,1,13,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
14,14,1,14,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
15,15,1,15,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
16,16,1,16,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
17,17,1,17,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
18,18,1,18,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
19,19,1,19,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
20,20,1,20,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
21,21,1,21,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
22,22,1,22,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
23,23,1,23,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
24,24,1,24,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
25,25,1,25,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
26,26,1,26,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
27,27,1,27,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
28,28,1,28,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
29,29,1,29,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
30,30,1,30,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
31,31,1,31,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
32,32,1,32,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
33,33,1,33,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
34,34,1,34,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
35,35,1,35,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
36,36,1,36,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
37,37,1,37,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
38,38,1,38,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
39,39,1,39,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
40,40,1,40,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
41,41,1,41,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
42,42,1,42,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
43,43,1,43,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
44,44,1,44,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
45,45,1,45,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
46,46,1,46,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
47,47,1,47,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
48,48,1,48,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
49,49,1,49,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
50,50,1,50,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
51,51,1,51,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
52,52,1,52,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
53,53,1,53,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
54,54,1,54,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
55,55,1,55,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
56,56,1,56,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
57,57,1,57,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
58,58,1,58,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
59,59,1,59,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
60,60,1,60,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
61,61,1,61,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
62,62,1,62,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
63,63,1,63,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
64,64,1,64,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
65,65,1,65,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
66,66,1,66,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
67,67,1,67,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
68,68,1,68,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
69,69,1,69,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
70,70,1,70,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
71,71,1,71,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
72,72,1,72,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
73,73,1,73,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
74,74,1,74,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
75,75,1,75,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
76,76,1,76,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
77,77,1,77,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
78,78,1,78,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
79,79,1,79,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
80,80,1,80,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
81,81,1,81,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
82,82,1,82,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
83,83,1,83,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
84,84,1,84,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
85,85,1,85,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
86,86,1,86,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
87,87,1,87,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
88,88,1,88,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
89,89,1,89,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
90,90,1,90,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
91,91,1,91,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
92,92,1,92,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
93,93,1,93,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
94,94,1,94,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
95,95,1,95,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
96,96,1,96,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
97,97,1,97,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
98,98,1,98,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
99,99,1,99,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
100,100,1,100,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
101,101,1,101,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
102,102,1,102,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
103,103,1,103,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
104,104,1,104,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
105,105,1,105,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
106,106,1,106,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
107,107,1,107,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
108,108,1,108,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
109,109,1,109,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
110,110,1,110,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
111,111,1,111,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
112,112,1,112,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
113,113,1,113,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
114,114,1,114,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
115,115,1,115,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
116,116,1,116,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
117,117,1,117,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
118,118,1,118,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
119,119,1,119,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
120,120,1,120,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
121,121,1,121,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
122,122,1,122,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
123,123,1,123,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
124,124,1,124,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
125,125,1,125,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
126,126,1,126,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
127,127,1,127,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
